J0146+6145,J0146+6145,53809.18584(0),1630(350),5100(1100),1.1(3),17.0(11),gdk11
J0205+6449,J0205+6449,52920(144),5400(1800),52(1),0.77(11),288(8),lrc+09
B0355+54,J0358+5413,46470(18),4366(1),430(154),0.00117(4),160(8),elsk11 sl96
B0525+21,J0528+2200,42051.5(3),1.9(2),13(5),0.6(2),140(80),elsk11 sl96
B0525+21,J0528+2200,52280(4),1.6(2),1.1(1),0.44(5),650(50),ywml10
B0531+21,J0534+2200,40491.80(3),7.2(4),0.44(4),0.6(1),18.7(16),elsk11 lps93
B0531+21,J0534+2200,42447.26(4),35.7(3),1.6(1),0.8(1),18(2),elsk11 lps93
B0531+21,J0534+2200,46663.69(3),6(1),0.5(1),1.00(4),9.3(2),elsk11 lps93
B0531+21,J0534+2200,47767.504(3),81.0(4),3.4(1),0.894(6),18(2),elsk11 lps93
B0531+21,J0534+2200,48945.6(1),4.2(2),0.32(3),0.87(18),2.0(4),elsk11 wbl01
B0531+21,J0534+2200,50020.04(2),2.1(1),0.20(1),0.8(3),8.2(48),elsk11 wbl01
B0531+21,J0534+2200,50260.031(4),31.9(1),1.73(3),0.680(10),10.3(15),elsk11 wbl01
B0531+21,J0534+2200,50458.94(3),6.1(4),1.1(1),0.87(6),3.7(8),elsk11 wbl01
B0531+21,J0534+2200,50812.59(1),6.2(2),0.62(4),0.9(3),2.9(18),elsk11 wbl01
B0531+21,J0534+2200,51452.02(1),6.8(2),0.7(1),0.8(2),3.4(5),elsk11 wbl01
B0531+21,J0534+2200,42447.26(4),35.7(3),1.6(1),0.536(12),97(4),lps93
B0531+21,J0534+2200,46663.69(3),6(1),0.5(1),0.89(9),123(40),lps93
J0631+1036,J0631+1036,52852.50(1),17.6(1),2.48(4),0.62(5),120(20),elsk11 ywml10
J0631+1036,J0631+1036,54632.530(2),43.2(1),3.3(2),0.13(2),40(15),elsk11 ywml10
J0729-1448,J0729-1448,54697(3),6648(11),44(18),0.006(2),52(24),ljd+21
B0833-45,J0835-4510,40280(4),2338(9),10.1(3),0.001980(18),10(1),cdk88
B0833-45,J0835-4510,41192(8),2047(30),14.8(2),0.00158(2),4(1),cdk88
B0833-45,J0835-4510,41312(4),12(2),1.9(2),0.1612(15),10.0(5),cdk88
B0833-45,J0835-4510,42683(3),1987(8),11(1),0.000435(5),4.0(4),cdk88
B0833-45,J0835-4510,43693(12),3063(65),18.3(2),0.00242(2),6.0(6),cdk88
B0833-45,J0835-4510,44888.4(4),1138(9),8.43(6),0.000813(8),6.0(6),cdk88
B0833-45,J0835-4510,45192.1(5),2051(3),23.1(3),0.002483(7),3.0(6),cdk88
B0833-45,J0835-4510,46259(2),1598.5(15),13.7(11),0.0037(5),6.5(5),mkhr87
B0833-45,J0835-4510,47519.80360(8),1805.2(8),77(6),0.005385(10),4.62(2),mhmk90
B0833-45,J0835-4510,50369.345(2),2110(17),5.95(3),0.030(4),186(12),wmp+00 ymh+13
B0833-45,J0835-4510,51559.3190(5),3152(2),495(37),0.0088(6),0.53(3),dml02
B0833-45,J0835-4510,53193.09(0),2100(0),-,0.009(3),37(11),dbr+04
B0833-45,J0835-4510,53959.93(0),2620(0),230(40),0.0119(6),73(8),fb06
B0833-45,J0835-4510,55408.802(0),1902.4(5),7(1),0.00548(8),13(2),ljd+21
B0833-45,J0835-4510,56555.871(0),3057(2),4.6(3),0.0270(4),148(8),ljd+21
B0833-45,J0835-4510,57734.484991(29),1439.8(5),11.2(3),0.00546(8),5.8(1),ljd+21
B0833-45,J0835-4510,58515.5929(5),2501.2(32),8.69(28),0.005(0),11.0(12),ker19 lbs+20
B0833-45,J0835-4510,40280(4),2338(9),10.1(3),0.01782(5),120(6),cdk88
B0833-45,J0835-4510,41192(8),2047(30),14.8(2),0.01311(9),94(5),cdk88
B0833-45,J0835-4510,42683(3),1987(8),11(1),0.003534(16),35(2),cdk88
B0833-45,J0835-4510,43693(12),3063(65),18.3(2),0.01134(2),75(3),cdk88
B0833-45,J0835-4510,44888.4(4),1138(9),8.43(6),0.00190(4),14(2),cdk88
B0833-45,J0835-4510,45192.1(5),2051(3),23.1(3),0.00550(8),21.5(20),cdk88
B0833-45,J0835-4510,46259(2),1598.5(15),13.7(11),0.1541(6),332(10),mkhr87
B0833-45,J0835-4510,47519.80360(8),1805.2(8),77(6),0.1684(4),351(1),mhmk90
B0833-45,J0835-4510,51559.3190(5),3152(2),495(37),0.00547(6),3.29(3),dml02
B0833-45,J0835-4510,51559.3190(5),3152(2),495(37),0.006691(7),19.07(2),dml02
B0833-45,J0835-4510,51559.3190(5),3152(2),495(37),0.02(1),125(83),ymh+13
J0940-5428,J0940-5428,55346(8),1573.9(10),11(2),0.0068(8),52(13),ljd+21
J1015-5719,J1015-5719,56695(6),3232.3(6),11(2),0.0078(7),104(18),ljd+21
J1016-5857,J1016-5857,55030(9),1919.9(10),6(1),0.005(1),70(31),ljd+21
J1016-5857,J1016-5857,55595(10),1464.5(10),6(3),0.005(4),231(194),ljd+21
J1028-5819,J1028-5819,57881(14),2296.5(5),35(2),0.0114(2),54.4(3),ljd+21
B1046-58,J1048-5832,49034(9),2995(7),3.7(1),0.026(6),160(43),wmp+00
B1046-58,J1048-5832,50788(3),771(2),4.62(6),0.008(3),60(20),wmp+00
B1046-58,J1048-5832,56756(4),2964(3),10(7),0.004(2),51(35),ljd+21
J1052-5954,J1052-5954,54493.695(1),6778(1),70(7),0.0057(3),64(6),ljd+21
J1112-6103,J1112-6103,53337(30),1202(20),7(2),0.022(2),302(146),ymh+13
J1112-6103,J1112-6103,55288(7),1793(1),6(2),0.014(11),344(206),ljd+21
J1119-6127,J1119-6127,53290(0),330(40),6.1(4),0.84(3),41(2),wje11 ymh+13
J1119-6127,J1119-6127,54240(0),1670(30),180(40),0.81(4),15.7(3),wje11 ymh+13
J1119-6127,J1119-6127,54241(0),1670(30),180(40),0.214(7),186(3),ymh+13
J1123-6259,J1123-6259,49705.87(1),749.12(12),1.0(4),0.0026(1),840(100),wmp+00
J1141-6545,J1141-6545,54277(20),589.0(6),5.0(9),0.0040(7),495(140),mks+10
J1301-6305,J1301-6305,51923(23),4630(2),8.6(4),0.0049(3),58(6),ymh+13
B1259-63,J1302-6350,50708.0(5),2.3(3),-,0.36(8),82(18),sjm14
B1338-62,J1341-6220,48645(10),990(3),0.7(1),0.016(2),69(8),wmp+00 sl96
B1338-62,J1341-6220,50683(13),703(4),1.2(3),0.0112(19),24(9),wmp+00 ymh+13
B1338-62,J1341-6220,55042(16),1528(4),63(8),0.042(3),9(1),ljd+21
B1338-62,J1341-6220,57880(14),60(3),0.6(6),0.102(3),86(47),ljd+21
J1406-6121,J1406-6121,56193(10),143.9(12),3(3),0.03(2),179(134),ljd+21
J1412-6145,J1412-6145,51868(10),7253.0(7),17.5(8),0.00263(8),59(4),ymh+13
J1420-6048,J1420-6048,52754(16),2019(10),6.6(8),0.008(4),99(29),ymh+13
J1420-6048,J1420-6048,54652(9),927.6(7),6(1),0.007(4),47(18),ljd+21
J1420-6048,J1420-6048,57210(8),1211(2),11(6),0.009(2),26(19),ljd+21
J1452-6036,J1452-6036,55055.22(4),28.95(3),2.5(10),0.12(5),2415(747),ljd+21
J1522-5735,J1522-5735,55250(0),-11.4(6),-1.2(13),1.4(2),27(5),pga+13
J1524-5625,J1524-5625,55745(7),2977.1(6),15.6(8),0.0058(2),46(4),ljd+21
J1531-5610,J1531-5610,51731(51),2637(2),25(4),0.007(3),76(16),ymh+13
J1617-5055,J1617-5055,54747(7),334(3),13(7),0.975(6),339(150),ljd+21
B1643-43,J1646-4346,55288(7),8592(6),18(7),0.005(2),164(100),ljd+21
J1650-4502,J1650-4502,57778(8),12767(2),300(70),0.0061(8),85(19),ljd+21
J1702-4128,J1702-4128,57719(6),3090(1),11(2),0.0040(4),95(26),ljd+21
J1702-4310,J1702-4310,53943(169),4810(27),17(4),0.023(6),96(16),ymh+13
J1702-4310,J1702-4310,57510(10),3131(3),5(2),0.002(1),68(54),ljd+21
J1705-3950,J1705-3950,58236(14),9331(5),62(11),0.0053(4),56(10),ljd+21
J1708-4008,J1708-4008,52014.2(0),4210(330),550(60),0.97(11),50(4),kg03
B1706-44,J1709-4429,48775(15),2057(2),4.0(1),0.01748(8),122(3),jml+95 ymh+13
B1706-44,J1709-4429,52716(57),2872(7),8.0(7),0.0129(12),155(29),ymh+13
B1706-44,J1709-4429,54711(22),2743.9(4),8.41(8),0.00849(7),85(2),ymh+13
B1706-44,J1709-4429,56354(13),2951.9(6),8(1),0.006(1),55(10),ljd+21
B1706-44,J1709-4429,58178(6),2432.8(7),8.5(9),0.0061(9),49(8),ljd+21
B1718-36,J1722-3632,55283(3),2702.18(4),0.89(9),0.00006(2),240(20),dym+20
B1727-33,J1730-3350,48000(10),3033(8),3.5(6),0.0077(5),110(8),jml+95 sl96
B1727-33,J1730-3350,52107(19),3202(1),5.9(1),0.0102(9),99(23),elsk11 ymh+13
B1727-33,J1730-3350,55926(6),2250.7(10),7(3),0.007(1),210(140),ljd+21
B1727-47,J1731-4744,52472.70(2),126.4(3),3.4(2),0.073(7),210(37),elsk11 ymh+13
B1727-47,J1731-4744,55735.18(14),53.6(12),3.4(6),0.125(14),141(25),skz+19
B1727-47,J1731-4744,56239.86(77),10.7(17),1.7(19),0.14(10),70(96),skz+19
B1737-30,J1740-3015,50941.6182(2),1443.0(3),1.231(5),0.0016(5),9(5),klgj03 ura02
B1737-30,J1740-3015,52347.66(6),152(2),-4.6(4),0.103(9),50(0),zwm+08
B1737-30,J1740-3015,53023.52(0),1850.9(3),2.4(4),0.0302(6),100(0),elsk11 zwm+08
B1737-30,J1740-3015,55220(14),2659(4),1.2(2),0.008(1),258(31),ljd+21
B1737-30,J1740-3015,58232.4(4),838.7(5),0.71(3),0.0068(4),71(6),lyy+19
B1754-24,J1757-2421,55702(6),7802.3(13),67(30),0.0003(2),15(10),ljd+21
B1754-24,J1757-2421,55702(6),7802.3(13),67(30),0.0014(1),98(18),ljd+21
B1754-24,J1757-2421,55702(6),7802.3(13),67(30),0.0021(3),672(162),ljd+21
B1758-23,J1801-2304,53306.98(1),497(1),-1(1),0.009(2),1000(100),elsk11 ymw+10
B1757-24,J1801-2451,49476(3),1987.9(3),4.6(1),0.0050(19),42(14),elsk11 lkb+96
B1757-24,J1801-2451,52055(7),3755.8(4),6.8(1),0.024(5),208(25),elsk11 ymh+13
B1757-24,J1801-2451,54661(2),3101(1),9.3(1),0.0064(9),25(4),elsk11 ymh+13
B1800-21,J1803-2137,48245(11),4074.4(3),9.3(1),0.0137(3),154(3),elsk11 sl96
B1800-21,J1803-2137,50777(4),3184(1),8.0(2),0.0094(11),12(2),elsk11 ymh+13
B1800-21,J1803-2137,53429(1),3929.3(4),10.6(1),0.00630(16),133(11),elsk11 ymh+13
B1800-21,J1803-2137,55775(2),4786.0(11),17(1),0.0071(5),40(5),ljd+21
B1800-21,J1803-2137,50777(4),3184(1),8.0(2),0.0030(17),69(13),ymh+13
J1809-1917,J1809-1917,53251(2),1625.1(3),7.8(3),0.00602(9),126(7),elsk11 ymh+13
B1809-173,J1812-1718,53106.2(1),14.8(2),7(4),0.27(2),800(100),elsk11 ymw+10
J1822-1604,J1822-1604,56756(0),230(10),-,1.0(0),40(6),skc14
B1823-13,J1826-1334,53737(1),3581(1),9.6(4),0.0066(3),80(9),elsk11 ymh+13
B1823-13,J1826-1334,56690(9),2421.2(3),4.6(6),0.002(1),202(125),ljd+21
B1830-08,J1833-0827,48051(4),1865.6(1),1.74(0),0.0009(2),200(40),elsk11 sl96
J1837-0604,J1837-0604,55873(11),1376(1),8(3),0.06(2),341(113),ljd+21
B1838-04,J1841-0425,53388(10),578.6(3),7.7(3),0.00014(20),80(20),elsk11 ymw+10
J1841-0456,J1841-0456,52464.01(0),15170(711),848(76),0.63(5),43(3),dkg08
J1841-0524,J1841-0524,54503(21),1032.8(5),2(2),0.023(9),494(156),ljd+21
J1841-0524,J1841-0524,55524(19),806.2(6),2(2),0.018(5),301(100),ljd+21
J1844-0346,J1844-0346,56135(7),3450(11),7.7(3),0.0145(22),117(22),cwp+17
J1846-0258,J1846-0258,53883(3),4000(1300),4.1(2),8.7(2.5),127(5),lkg10
J1852-0635,J1852-0635,56086(8),1144.1(3),5.5(6),0.0022(2),400(40),dym+20
J1853+0545,J1853+0545,53450(2),1.49(5),1.6(5),0.22(5),250(3),ymw+10
J1906+0722,J1906+0722,55063(6),4538(14),8.87(10),0.0089(2),221(12),cpw+15
J1957+2831,J1957+2831,54692.8(3),5.8(3),0.7(6),0.2(3),110(10),elsk11 dym+20
J2301+5852,J2301+5852,52443.13(9),4240(110),-22(3),0.185(10),15.9(6),wkt+04
B2334+61,J2337+6151,53615(6),20579.4(12),156(4),0.0046(7),21.4(5),ymw+10
B2334+61,J2337+6151,53615(6),20579.4(12),156(4),0.0029(1),147(2),ymw+10